Ma Vi Pham,Track ID,Loai Phuong Tien,Frame Ghi Nhan,Thoi Gian,Anh Xe,Anh Vung Bien So,Anh Review,Frame Bien So Tot Nhat,Do Tin Cay Bien So,Do Net Bien So,Diem Bien So
V001,4,Car,0,2026-05-21 16:53:46,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\vehicles\vehicle_V001.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\plates_filtered\cropped_plate_track_4_frame_0.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\reviews\review_V001.png,0,0.7646,5301.5,0.5609
V002,10,Truck,0,2026-05-21 16:53:46,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\vehicles\vehicle_V002.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\plates_filtered\cropped_plate_track_10_frame_0.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\reviews\review_V002.png,0,0.7669,2831.0,0.5350
V003,8,Car,2,2026-05-21 16:53:46,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\vehicles\vehicle_V003.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\plates_filtered\cropped_plate_track_8_frame_2.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\reviews\review_V003.png,2,0.7588,3756.3,0.5481
V004,3,Car,20,2026-05-21 16:53:46,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\vehicles\vehicle_V004.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\plates_filtered\cropped_plate_track_3_frame_20.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\reviews\review_V004.png,20,0.7916,5429.0,0.5838
V005,1,Car,31,2026-05-21 16:53:46,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\vehicles\vehicle_V005.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\plates_filtered\cropped_plate_track_1_frame_31.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\reviews\review_V005.png,31,0.7436,2608.0,0.4790
V006,212,Motorcycle,50,2026-05-21 16:53:46,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\vehicles\vehicle_V006.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\plates_filtered\cropped_plate_track_212_frame_50.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\reviews\review_V006.png,50,0.7127,1850.0,0.4811
V007,274,Car,64,2026-05-21 16:53:46,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\vehicles\vehicle_V007.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\plates_filtered\cropped_plate_track_274_frame_64.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\reviews\review_V007.png,64,0.6153,1939.2,0.4857
V008,193,Car,69,2026-05-21 16:53:46,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\vehicles\vehicle_V008.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\plates_filtered\cropped_plate_track_193_frame_69.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\reviews\review_V008.png,69,0.7685,3107.0,0.5376
V009,382,Truck,102,2026-05-21 16:53:46,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\vehicles\vehicle_V009.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\plates_filtered\cropped_plate_track_382_frame_102.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\reviews\review_V009.png,102,0.7878,4835.9,0.5857
V010,553,Motorcycle,107,2026-05-21 16:53:46,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\vehicles\vehicle_V010.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\plates_filtered\cropped_plate_track_553_frame_107.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\reviews\review_V010.png,107,0.7958,2116.1,0.5723
V011,296,Motorcycle,110,2026-05-21 16:53:46,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\vehicles\vehicle_V011.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\plates_filtered\cropped_plate_track_296_frame_110.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\reviews\review_V011.png,110,0.7620,1864.2,0.5539
V012,456,Car,150,2026-05-21 16:53:46,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\vehicles\vehicle_V012.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\plates_filtered\cropped_plate_track_456_frame_150.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\reviews\review_V012.png,150,0.7979,4896.0,0.6253
V013,728,Car,198,2026-05-21 16:53:46,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\vehicles\vehicle_V013.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\plates_filtered\cropped_plate_track_728_frame_198.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\reviews\review_V013.png,198,0.7477,3709.3,0.5293
V014,874,Motorcycle,228,2026-05-21 16:53:46,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\vehicles\vehicle_V014.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\plates_filtered\cropped_plate_track_874_frame_228.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\reviews\review_V014.png,228,0.6126,1950.1,0.5269
V015,963,Truck,232,2026-05-21 16:53:46,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\vehicles\vehicle_V015.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\plates_filtered\cropped_plate_track_963_frame_232.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\reviews\review_V015.png,232,0.8346,2039.3,0.5407
V016,1114,Car,261,2026-05-21 16:53:46,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\vehicles\vehicle_V016.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\plates_filtered\cropped_plate_track_1114_frame_261.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\reviews\review_V016.png,261,0.7249,2714.1,0.6281
V017,1100,Car,300,2026-05-21 16:53:46,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\vehicles\vehicle_V017.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\plates_filtered\cropped_plate_track_1100_frame_300.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\reviews\review_V017.png,300,0.7620,1905.5,0.5201
V018,1233,Car,325,2026-05-21 16:53:46,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\vehicles\vehicle_V018.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\plates_filtered\cropped_plate_track_1233_frame_325.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\reviews\review_V018.png,325,0.8045,1805.1,0.5312
V019,1066,Motorcycle,335,2026-05-21 16:53:46,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\vehicles\vehicle_V019.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\plates_filtered\cropped_plate_track_1066_frame_335.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\reviews\review_V019.png,335,0.7287,1889.6,0.5256
V020,1395,Car,354,2026-05-21 16:53:46,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\vehicles\vehicle_V020.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\plates_filtered\cropped_plate_track_1395_frame_354.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\reviews\review_V020.png,354,0.8015,2626.9,0.5646
V021,1589,Motorcycle,361,2026-05-21 16:53:46,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\vehicles\vehicle_V021.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\plates_filtered\cropped_plate_track_1589_frame_361.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\reviews\review_V021.png,361,0.6902,1931.1,0.4868
V022,1598,Car,410,2026-05-21 16:53:46,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\vehicles\vehicle_V022.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\plates_filtered\cropped_plate_track_1598_frame_410.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\reviews\review_V022.png,410,0.7447,4214.5,0.5678
V023,1935,Car,424,2026-05-21 16:53:46,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\vehicles\vehicle_V023.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\plates_filtered\cropped_plate_track_1935_frame_424.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\reviews\review_V023.png,424,0.7980,2953.7,0.5966
V024,1944,Car,442,2026-05-21 16:53:46,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\vehicles\vehicle_V024.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\plates_filtered\cropped_plate_track_1944_frame_442.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\reviews\review_V024.png,442,0.6447,3533.6,0.5000
V025,2012,Car,470,2026-05-21 16:53:46,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\vehicles\vehicle_V025.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\plates_filtered\cropped_plate_track_2012_frame_470.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\reviews\review_V025.png,470,0.8055,2862.3,0.5806
V026,2117,Car,471,2026-05-21 16:53:46,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\vehicles\vehicle_V026.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\plates_filtered\cropped_plate_track_2117_frame_471.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\reviews\review_V026.png,471,0.7811,4286.9,0.5897
V027,2236,Car,497,2026-05-21 16:53:46,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\vehicles\vehicle_V027.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\plates_filtered\cropped_plate_track_2236_frame_497.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\reviews\review_V027.png,497,0.7168,2978.3,0.6137
V028,2295,Truck,514,2026-05-21 16:53:46,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\vehicles\vehicle_V028.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\plates_filtered\cropped_plate_track_2295_frame_514.png,C:\Users\Admin\ducmanhjr\thi_giac\giai_doan_tim_bien\outputs\reviews\review_V028.png,514,0.7920,4095.0,0.6246
